,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
219,tibiri,7,NE,1632798409,47,13.5627,7.0485,80.87,7.2
220,maceio,75,BR,1632798254,78,-9.6658,-35.7353,80.04,8.05
221,pevek,100,RU,1632798409,74,69.7008,170.3133,23.74,5.61
222,verkh-usugli,58,RU,1632798410,41,52.7,115.1667,42.76,7.34
223,luwuk,96,ID,1632798410,66,-0.9516,122.7875,85.95,4.74
224,hambantota,40,LK,1632798410,89,6.1241,81.1185,80.94,1.14
225,vila,100,PT,1632798410,94,42.0304,-8.1588,52.7,2.19
226,uspenka,25,UA,1632798411,91,48.3903,39.1619,45.46,4.52
227,sokoto,10,NG,1632798411,56,13.0609,5.239,78.55,7.92
228,taunggyi,60,MM,1632798412,74,20.7833,97.0333,72.05,2.08
229,bardiyah,1,LY,1632798412,73,31.7561,25.0865,73.47,12.84
230,svetlyy,55,RU,1632798413,91,54.675,20.1347,41.05,11.34
231,monte cristi,0,FR,1632798413,72,42.4687,9.3916,61.86,5.75
232,santiago del estero,20,CL,1632798271,40,-33.4569,-70.6483,63.86,2.3
233,chuy,100,UY,1632798413,97,-33.6971,-53.4616,57.09,6.44
234,filingue,6,NE,1632798414,41,14.3521,3.3168,85.84,11.63
235,burnie,100,AU,1632798414,63,-41.0667,145.9167,56.5,4.59
236,roebourne,97,AU,1632798414,20,-20.7833,117.1333,83.37,6.93
237,raipur,85,IN,1632798415,84,21.2333,81.6333,78.8,12.39
238,luderitz,4,NA,1632798415,81,-26.6481,15.1594,54.55,18.7
239,bougouni,10,ML,1632798415,86,11.417,-7.479,72.39,3.33
240,orhangazi,2,TR,1632798277,88,40.4892,29.3089,63.37,3.76
241,mandurah,95,AU,1632798306,66,-32.55,115.7,68.22,7.07
242,ribeira grande,40,ES,1632798416,95,42.7461,-8.4439,62.37,2.3
243,ilulissat,0,GL,1632798416,38,69.2167,-51.1,21.22,17.27
244,kruisfontein,100,ZA,1632798417,83,-34.0033,24.7314,57.88,12.24
245,clyde river,70,US,1632798417,63,41.3042,-82.9752,75.61,12.3
246,ostrovnoy,99,RU,1632798417,89,68.0531,39.5131,45.3,7.29
247,boyuibe,3,BO,1632798418,41,-20.4167,-63.2833,78.82,8.14
248,ponca city,1,US,1632798418,47,42.5625,-96.7056,72.09,7.05
249,itarema,95,BR,1632798418,84,-2.9248,-39.9167,79.12,15.3
250,sorland,13,NO,1632798418,84,67.667,12.6934,59.07,21.18
251,syamzha,14,RU,1632798419,97,60.0158,41.0614,35.83,3.74
252,tiznit,1,MA,1632798419,32,29.5833,-9.5,72.66,2.06
253,kieta,37,PG,1632798419,73,-6.2167,155.6333,83.71,4.25
254,lebu,88,CL,1632798420,77,-37.6167,-73.65,47.25,9.86
255,rio grande,94,GR,1632798420,54,38.3,21.7833,73.6,1.01
256,tutoia,59,BR,1632798420,84,-2.7619,-42.2744,79.72,13.04
257,gizo,76,SB,1632798420,76,-8.103,156.8419,81.84,5.93
258,fort-shevchenko,69,KZ,1632798421,61,44.5086,50.263,60.51,16.42
259,flagstaff,75,US,1632798126,90,35.1981,-111.6513,55.33,3.0
260,villaviciosa,100,ES,1632798421,95,43.4813,-5.4357,60.96,2.91
261,mount pleasant,92,GB,1632798421,88,53.6597,-1.8537,49.48,3.0
262,ruangwa,2,TZ,1632798422,92,-10.0667,38.9333,64.44,1.59
263,irbeyskoye,100,RU,1632798422,84,55.6428,95.4522,38.46,9.93
264,toora-khem,28,RU,1632798423,65,52.4675,96.11,31.95,3.33
